1000, 652600
2000, 928100
3000, 524800
4000, 495700
5000, 658200
6000, 808600
7000, 1001100
8000, 1277500
9000, 937700
10000, 939400
11000, 838500
12000, 974900
13000, 1042100
14000, 1100300
15000, 1185000
16000, 1260200
17000, 1459200
18000, 1851900
19000, 1788700
20000, 1646000
21000, 1837900
22000, 1819100
23000, 1966800
24000, 2172000
25000, 2598200
26000, 2475700
27000, 2804700
28000, 2633800
29000, 3216000
30000, 2950800
31000, 3341700
32000, 3536700
33000, 3901200
34000, 3215000
35000, 3806500
36000, 3868000
37000, 4088000
38000, 3841500
39000, 4001500
40000, 4020200
41000, 4200300
42000, 4111400
43000, 4434100
44000, 5189700
45000, 4551600
46000, 4627900
47000, 4910400
48000, 4929900
49000, 5094100
50000, 4869500
51000, 5127600
52000, 5615600
53000, 5658100
54000, 5822400
55000, 6318700
56000, 6594200
57000, 6552400
58000, 6313200
59000, 6390300
60000, 6360800
61000, 6640400
62000, 6483400
63000, 7407700
64000, 7442800
65000, 7541400
66000, 7662400
67000, 7693700
68000, 7260500
69000, 7741700
70000, 8379700
71000, 8743400
72000, 7904100
73000, 7675200
74000, 8334600
75000, 8330500
76000, 9570000
77000, 8809700
78000, 8991300
79000, 9299300
80000, 10662900
81000, 11085800
82000, 10521100
83000, 9654600
84000, 11443700
85000, 9583200
86000, 9797200
87000, 10800800
88000, 10425800
89000, 11551000
90000, 13581000
91000, 10525900
92000, 10168600
93000, 10907300
94000, 10296100
95000, 10596300
96000, 10774300
97000, 10995300
98000, 11044800
99000, 12447000
100000, 11321600
101000, 11160600
102000, 11704500
103000, 11468100
104000, 11993500
105000, 12962600
106000, 16216400
107000, 15655800
108000, 13575500
109000, 12811500
110000, 13425800
111000, 12695000
112000, 12337200
113000, 12966700
114000, 12824800
115000, 13766900
116000, 15556900
117000, 27972600
118000, 14893600
119000, 14482600
120000, 14171600
121000, 13755200
122000, 13867800
123000, 13884400
124000, 13668500
125000, 14356500
126000, 14141800
127000, 14653700
128000, 14860300
129000, 15122000
130000, 14285300
131000, 14584600
132000, 14934900
133000, 14556600
134000, 15412100
135000, 16119700
136000, 19515000
137000, 21016000
138000, 16924700
139000, 17364400
140000, 21034500
141000, 19406600
142000, 19261100
143000, 19955800
144000, 18361100
145000, 17209000
146000, 16833600
147000, 17163900
148000, 17719100
149000, 17897900
150000, 18269800
151000, 20209100
152000, 19689900
153000, 19145700
154000, 19968400
155000, 22379300
156000, 20751900
157000, 19514200
158000, 21641100
159000, 21469800
160000, 20779500
161000, 18686000
162000, 18983800
163000, 19086900
164000, 20003200
165000, 22649400
166000, 20373200
167000, 19018500
168000, 19312400
169000, 18987100
170000, 20689900
171000, 20368600
172000, 21527800
173000, 21357800
174000, 21837000
175000, 21606500
176000, 21514000
177000, 21208600
178000, 21815000
179000, 21005100
180000, 20622100
181000, 24812000
182000, 22843700
183000, 21659800
184000, 23132200
185000, 22161900
186000, 21762000
187000, 21524100
188000, 22965100
189000, 23964900
190000, 22789500
191000, 22324700
192000, 22004000
193000, 23683900
194000, 23830100
195000, 23651900
196000, 22553700
197000, 22738900
198000, 23061500
199000, 24136800
200000, 23170900
201000, 25193100
202000, 24926900
203000, 23787300
204000, 23362900
205000, 25932200
206000, 25240400
207000, 26508900
208000, 27208300
209000, 27252900
210000, 27955700
211000, 28245700
212000, 28685400
213000, 26463200
214000, 25128300
215000, 27416700
216000, 29242400
217000, 28476300
218000, 32800200
219000, 33038000
220000, 35256000
221000, 34305500
222000, 32415500
223000, 31251300
224000, 27450400
225000, 31536700
226000, 31533000
227000, 29106100
228000, 28564600
229000, 31538000
230000, 33103300
231000, 27414100
232000, 28140200
233000, 31290700
234000, 29475100
235000, 32333200
236000, 30378400
237000, 33406100
238000, 31218600
239000, 31000300
240000, 29427700
241000, 30207000
242000, 30095000
243000, 29839100
244000, 30321500
245000, 28629300
246000, 29629200
247000, 29248500
248000, 31435000
249000, 34042700
250000, 30213600
251000, 33054500
252000, 32520100
253000, 32756300
254000, 33387300
255000, 32466100
256000, 35381000
257000, 36072400
258000, 34703800
259000, 33044100
260000, 33015700
261000, 35092700
262000, 34205700
263000, 36094100
264000, 33693900
265000, 32210100
266000, 33314800
267000, 33555600
268000, 35536800
269000, 35497200
270000, 33945600
271000, 36045400
272000, 33990500
273000, 34160300
274000, 32296700
275000, 32471900
276000, 35006400
277000, 34539900
278000, 35216300
279000, 33838200
280000, 39182700
281000, 36889700
282000, 36823100
283000, 39660600
284000, 38119600
285000, 36379600
286000, 36976400
287000, 36488400
288000, 33648800
289000, 34885100
290000, 34357800
291000, 37378700
292000, 38997900
293000, 41195500
294000, 39686900
295000, 41341000
296000, 43893800
297000, 40896000
298000, 38163000
299000, 35091800
300000, 35414700
301000, 36369300
302000, 36149800
303000, 37841000
304000, 37290000
305000, 40870800
306000, 38724700
307000, 39821800
308000, 38112300
309000, 40237900
310000, 38766500
311000, 37540500
312000, 36552800
313000, 35413100
314000, 35355900
315000, 35956100
316000, 34437200
317000, 35636500
318000, 32249300
319000, 33379100
320000, 31012000
321000, 33142000
322000, 35363900
323000, 31532200
324000, 28946600
325000, 30638200
326000, 29674800
327000, 28141500
328000, 30024500
329000, 29057600
330000, 29926000
331000, 29727900
332000, 32014500
333000, 34275800
334000, 29748200
335000, 35410800
336000, 34467800
337000, 30781700
338000, 30487300
339000, 30180400
340000, 32375200
341000, 31632600
342000, 32057400
343000, 31878000
344000, 32194400
345000, 31891000
346000, 32463900
347000, 32725600
348000, 31064800
349000, 31848100
350000, 35003300
351000, 31300900
